<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.02	78.769	78.834	78.347	78.735	24834	0	25
2012.01.03	78.739	79.691	78.731	79.493	62241	0	25
2012.01.04	79.493	79.561	79.081	79.435	63936	0	25
2012.01.05	79.435	79.449	78.684	79.045	67629	0	25
2012.01.06	79.046	79.344	78.637	78.683	64116	0	25
2012.01.09	78.347	78.773	78.070	78.667	63245	0	25
2012.01.10	78.667	79.504	78.659	79.166	64843	0	12
2012.01.11	79.162	79.427	78.969	79.186	64494	0	25
2012.01.12	79.186	79.743	78.968	79.297	60561	0	25
2012.01.13	79.297	79.488	78.759	79.437	64033	0	25
2012.01.16	79.146	79.290	78.784	79.109	50463	0	25
2012.01.17	79.107	80.108	79.102	79.675	68429	0	10
2012.01.18	79.674	80.166	79.451	79.940	68314	0	25
2012.01.19	79.939	80.517	79.594	80.295	66873	0	25
2012.01.20	80.294	80.858	80.132	80.712	60346	0	25
2012.01.23	80.579	81.435	80.464	80.986	62063	0	6
2012.01.24	80.985	81.506	80.706	81.377	58415	0	6
2012.01.25	81.378	82.452	81.213	82.255	75841	0	25
2012.01.26	82.254	82.831	82.156	82.262	61580	0	6
2012.01.27	82.263	82.366	81.413	81.703	69900	0	25
2012.01.30	81.608	81.725	80.506	80.874	68814	0	25
2012.01.31	80.874	81.513	80.686	81.053	74839	0	7
2012.02.01	81.052	81.862	80.545	81.589	68639	0	25
2012.02.02	81.590	81.854	81.310	81.523	65659	0	6
2012.02.03	81.524	82.603	81.287	82.450	64700	0	6
2012.02.06	82.348	82.352	81.873	82.052	67535	0	25
2012.02.07	82.051	83.181	81.989	82.948	76885	0	25
2012.02.08	82.946	83.611	82.785	83.082	71004	0	25
2012.02.09	83.081	83.839	82.833	83.727	79036	0	25
2012.02.10	83.728	83.730	82.634	82.806	75706	0	25
2012.02.13	83.143	83.686	83.014	83.134	76017	0	25
2012.02.14	83.133	83.884	82.738	83.783	83277	0	25
2012.02.15	83.782	84.596	83.662	83.761	83885	0	25
2012.02.16	83.759	84.988	83.523	84.780	85018	0	25
2012.02.17	84.779	85.473	84.653	85.106	73928	0	25
2012.02.20	85.876	86.332	85.299	85.437	67839	0	24
2012.02.21	85.439	85.737	84.844	84.864	81332	0	6
2012.02.22	84.863	85.573	84.690	85.322	83323	0	25
2012.02.23	85.320	85.945	85.019	85.817	73091	0	25
2012.02.24	85.818	86.834	85.700	86.825	71691	0	25
2012.02.27	87.356	87.356	85.607	86.480	82383	0	25
2012.02.28	86.479	87.115	86.093	86.676	82608	0	25
2012.02.29	86.676	87.525	86.674	87.236	85835	0	25
2012.03.01	87.235	87.708	86.847	87.665	84393	0	25
2012.03.02	87.663	87.989	87.523	87.765	72583	0	24
2012.03.05	87.807	87.807	86.645	86.943	77577	0	18
2012.03.06	86.942	87.099	84.840	85.114	87456	0	25
2012.03.07	85.116	85.999	84.780	85.857	82605	0	25
2012.03.08	85.856	87.096	85.535	86.799	82504	0	25
2012.03.09	86.798	87.579	86.534	87.177	77318	0	6
2012.03.12	87.119	87.201	86.076	86.573	72720	0	25
2012.03.13	86.575	87.543	86.411	87.532	79952	0	25
2012.03.14	87.534	87.782	87.191	87.435	73795	0	25
2012.03.15	87.436	88.018	87.361	87.897	80152	0	25
2012.03.16	87.896	88.571	87.646	88.325	70793	0	25
2012.03.19	88.515	88.609	87.847	88.395	73720	0	25
2012.03.20	88.394	88.537	87.342	87.683	72940	0	25
2012.03.21	87.682	88.126	87.024	87.174	82718	0	25
2012.03.22	87.172	87.373	85.362	85.884	93814	0	24
2012.03.23	85.883	86.432	85.167	86.109	83078	0	13
2012.03.26	86.274	87.366	86.143	87.336	79976	0	24
2012.03.27	87.335	87.565	86.878	86.948	74787	0	6
2012.03.28	86.949	86.984	85.631	86.100	85223	0	25
2012.03.29	86.099	86.247	84.601	85.488	84195	0	25
2012.03.30	85.488	85.893	84.870	85.689	86630	0	25
2012.04.02	86.609	86.743	85.237	85.438	79425	0	20
2012.04.03	85.439	85.758	84.967	85.518	85776	0	20
2012.04.04	85.517	85.573	84.207	84.577	83838	0	6
2012.04.05	84.578	84.963	83.975	84.853	77657	0	20
2012.04.06	84.854	85.171	83.659	84.050	52041	0	20
2012.04.09	83.958	84.331	83.466	84.059	57722	0	20
2012.04.10	84.059	84.605	82.641	82.770	83973	0	20
2012.04.11	82.771	83.775	82.469	83.307	79776	0	10
2012.04.12	83.306	84.565	83.285	84.400	79422	0	13
2012.04.13	84.399	84.785	83.774	83.907	75198	0	20
2012.04.16	83.876	83.879	83.014	83.279	78897	0	20
2012.04.17	83.278	84.162	82.871	84.078	71300	0	20
2012.04.18	84.079	84.709	84.022	84.176	74487	0	20
2012.04.19	84.177	84.736	83.954	84.320	80002	0	20
2012.04.20	84.321	84.740	84.136	84.588	65950	0	15
2012.04.23	84.613	84.717	83.291	83.722	67655	0	20
2012.04.24	83.721	84.005	82.849	83.920	72313	0	20
2012.04.25	83.918	84.328	83.773	84.254	72184	0	20
2012.04.26	84.255	84.328	83.557	83.949	69096	0	20
2012.04.27	83.950	84.482	83.534	84.014	73604	0	20
2012.04.30	83.994	84.117	82.975	83.186	58571	0	20
2012.05.01	83.186	83.280	82.097	82.704	56985	0	19
2012.05.02	82.704	83.279	82.358	82.694	65310	0	20
2012.05.03	82.695	82.849	82.199	82.302	60998	0	20
2012.05.04	82.303	82.388	81.166	81.260	59398	0	20
2012.05.07	80.962	81.687	80.548	81.506	68316	0	20
2012.05.08	81.507	81.641	80.439	80.741	68862	0	20
2012.05.09	80.743	80.828	79.715	79.942	76797	0	20
2012.05.10	79.944	81.109	79.912	80.347	76431	0	20
2012.05.11	80.346	80.572	79.895	80.066	69413	0	20
2012.05.14	79.997	80.358	79.386	79.499	67213	0	20
2012.05.15	79.497	80.141	79.364	79.714	70829	0	20
2012.05.16	79.713	80.162	79.309	79.614	77079	0	20
2012.05.17	79.614	79.994	78.349	78.418	76580	0	20
2012.05.18	78.421	78.608	77.537	77.763	79873	0	20
2012.05.21	77.967	78.654	77.534	78.590	75080	0	20
2012.05.22	78.589	79.164	78.174	78.310	73555	0	20
2012.05.23	78.310	78.364	76.858	77.481	83486	0	20
2012.05.24	77.482	77.946	77.082	77.705	84275	0	20
2012.05.25	77.706	78.026	77.537	77.731	70500	0	10
2012.05.28	78.091	78.466	77.922	78.288	58961	0	20
2012.05.29	78.289	78.650	77.793	78.200	75545	0	20
2012.05.30	78.202	78.269	76.690	76.814	82582	0	20
2012.05.31	76.813	76.969	75.742	76.209	86319	0	20
2012.06.01	76.211	76.339	74.457	75.618	89883	0	20
2012.06.04	75.763	76.305	75.218	76.108	78521	0	20
2012.06.05	76.108	76.890	75.940	76.729	80605	0	20
2012.06.06	76.728	78.680	76.666	78.594	88150	0	14
2012.06.07	78.593	79.704	78.331	78.792	87461	0	20
2012.06.08	78.792	79.076	77.692	78.774	87146	0	20
2012.06.11	79.364	79.679	78.187	78.219	81660	0	20
2012.06.12	78.217	79.299	78.067	79.174	84966	0	20
2012.06.13	79.174	79.549	78.813	78.989	78804	0	20
2012.06.14	78.989	79.574	78.705	79.557	79138	0	20
2012.06.15	79.557	79.642	78.828	79.252	74470	0	20
2012.06.18	79.929	80.252	79.326	80.029	80929	0	20
2012.06.19	80.030	80.621	79.750	80.483	73380	0	20
2012.06.20	80.484	81.420	80.165	80.919	80809	0	10
2012.06.21	80.920	81.564	80.470	80.624	87532	0	20
2012.06.22	80.615	81.057	80.326	80.910	75477	0	20
2012.06.25	80.857	80.947	79.302	79.682	68086	0	13
2012.06.26	79.684	80.152	79.451	79.954	73553	0	20
