<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.01	78.769	79.691	78.347	78.683	282756	0	25
2012.01.08	78.347	79.743	78.070	79.437	317176	0	12
2012.01.15	79.146	80.858	78.784	80.712	314425	0	10
2012.01.22	80.579	82.831	80.464	81.703	327799	0	6
2012.01.29	81.608	82.603	80.506	82.450	342651	0	6
2012.02.05	82.348	83.839	81.873	82.806	370166	0	25
2012.02.12	83.143	85.473	82.738	85.106	402125	0	25
2012.02.19	85.876	86.834	84.690	86.825	377276	0	6
2012.02.26	87.356	87.989	85.607	87.765	407802	0	24
2012.03.04	87.807	87.807	84.780	87.177	407460	0	6
2012.03.11	87.119	88.571	86.076	88.325	377412	0	25
2012.03.18	88.515	88.609	85.167	86.109	406270	0	13
2012.03.25	86.274	87.565	84.601	85.689	410811	0	6
2012.04.01	86.609	86.743	83.659	84.050	378737	0	6
2012.04.08	83.958	84.785	82.469	83.907	376091	0	10
2012.04.15	83.876	84.740	82.871	84.588	370636	0	15
2012.04.22	84.613	84.717	82.849	84.014	354852	0	20
2012.04.29	83.994	84.117	81.166	81.260	301262	0	19
2012.05.06	80.962	81.687	79.715	80.066	359819	0	20
2012.05.13	79.997	80.358	77.537	77.763	371574	0	20
2012.05.20	77.967	79.164	76.858	77.731	386896	0	10
2012.05.27	78.091	78.650	74.457	75.618	393290	0	20
2012.06.03	75.763	79.704	75.218	78.774	421883	0	14
2012.06.10	79.364	79.679	78.067	79.252	399038	0	20
2012.06.17	79.929	81.564	79.326	80.910	398127	0	10
2012.06.24	80.857	81.893	79.302	81.675	375846	0	13
2012.07.01	81.980	82.345	81.031	81.290	330987	0	10
2012.07.08	81.113	81.769	80.041	80.931	335554	0	12
2012.07.15	81.135	82.090	80.453	81.409	324620	0	14
2012.07.22	81.244	82.348	79.519	82.211	367572	0	20
2012.07.29	82.233	83.082	81.545	82.895	346603	0	6
2012.08.05	83.135	83.353	82.236	82.755	329612	0	6
2012.08.12	82.658	83.484	82.216	82.873	296543	0	6
2012.08.19	82.988	83.561	81.484	81.815	307265	0	15
2012.08.26	81.974	82.061	80.642	80.883	256989	0	6
2012.09.02	80.639	81.760	79.667	81.195	284647	0	12
2012.09.09	81.121	83.070	80.677	82.669	303730	0	6
2012.09.16	82.681	82.990	80.953	81.717	317794	0	20
2012.09.23	81.644	81.644	80.222	80.859	291608	0	20
2012.09.30	80.798	81.227	79.726	80.113	289163	0	20
2012.10.07	79.978	80.779	79.397	80.238	267753	0	8
2012.10.14	80.388	82.506	79.944	81.872	291814	0	20
2012.10.21	81.806	83.469	81.612	82.587	279341	0	11
2012.10.28	82.496	83.819	81.961	83.092	317897	0	6
2012.11.04	83.262	84.143	81.957	82.514	471234	0	6
2012.11.11	82.549	84.145	82.358	84.048	458724	0	6
2012.11.18	84.276	86.234	84.136	86.155	444865	0	6
2012.11.25	86.165	86.416	85.224	85.977	449461	0	8
2012.12.02	85.926	86.701	85.374	86.473	386005	0	6
2012.12.09	86.556	88.524	86.035	88.209	394776	0	6
2012.12.16	88.905	88.908	87.522	87.601	445597	0	6
2012.12.23	87.797	89.805	87.641	89.025	287495	0	6
2012.12.30	88.998	92.455	88.988	92.344	367093	0	19
2013.01.06	92.813	94.495	91.179	93.934	534349	0	12
2013.01.13	94.239	94.999	92.461	94.656	577661	0	12
2013.01.20	94.675	95.080	92.793	94.730	562474	0	12
2013.01.27	94.848	96.703	94.086	96.574	558016	0	12
2013.02.03	96.697	97.406	95.123	95.605	581726	0	12
2013.02.10	95.418	96.964	95.159	96.322	570121	0	10
2013.02.17	96.475	97.060	95.043	96.379	497372	0	12
2013.02.24	96.981	97.127	92.961	95.462	586395	0	12
2013.03.03	95.412	98.952	94.446	98.198	162532	0	1
2013.03.10	98.128	99.972	98.052	99.160	271519	0	1
2013.03.17	98.284	99.774	97.720	98.642	308762	0	1
2013.03.24	98.843	99.391	97.727	98.109	256570	0	1
2013.03.31	98.126	101.728	96.909	101.246	281962	0	1
2013.04.07	101.868	105.420	101.666	103.317	330896	0	1
2013.04.14	103.219	103.828	98.731	102.210	401702	0	5
2013.04.21	102.518	102.929	100.303	100.701	321058	0	2
2013.04.28	100.753	102.323	99.283	102.091	258566	0	1
