<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.02	1.31259	1.31567	1.30801	1.31214	21600	0	88
2012.01.03	1.31215	1.31440	1.30943	1.31117	60170	0	60
2012.01.04	1.31120	1.31564	1.30880	1.31403	60164	0	200
2012.01.05	1.31401	1.31466	1.30975	1.31167	72276	0	60
2012.01.06	1.31167	1.31243	1.30757	1.30862	60701	0	200
2012.01.09	1.30680	1.30757	1.29772	1.29938	73347	0	60
2012.01.10	1.29937	1.30202	1.29539	1.29737	67232	0	60
2012.01.11	1.29725	1.29751	1.29097	1.29130	62272	0	200
2012.01.12	1.29128	1.30181	1.29093	1.29951	63502	0	60
2012.01.13	1.29951	1.30502	1.29699	1.29795	61570	0	35
2012.01.16	1.29545	1.30108	1.29319	1.29755	49795	0	60
2012.01.17	1.29754	1.30258	1.29450	1.29492	62742	0	23
2012.01.18	1.29487	1.29706	1.28659	1.29655	76646	0	60
2012.01.19	1.29654	1.30042	1.29154	1.29594	67872	0	60
2012.01.20	1.29593	1.30026	1.29551	1.29870	59248	0	60
2012.01.23	1.29900	1.30069	1.29666	1.29671	64780	0	15
2012.01.24	1.29672	1.29765	1.29042	1.29089	59122	0	10
2012.01.25	1.29091	1.30201	1.28896	1.29603	70717	0	60
2012.01.26	1.29602	1.29866	1.29148	1.29229	65422	0	30
2012.01.27	1.29230	1.29335	1.28947	1.29068	64111	0	200
2012.01.30	1.29095	1.29384	1.28740	1.29131	70297	0	60
2012.01.31	1.29129	1.29195	1.28284	1.28519	65029	0	16
2012.02.01	1.28520	1.28886	1.28261	1.28483	71823	0	60
2012.02.02	1.28484	1.28663	1.28168	1.28507	64421	0	10
2012.02.03	1.28508	1.28829	1.28338	1.28659	60134	0	10
2012.02.06	1.28897	1.29096	1.28383	1.28453	63048	0	60
2012.02.07	1.28454	1.29599	1.28221	1.29157	68521	0	60
2012.02.08	1.29156	1.29368	1.28769	1.29292	69068	0	60
2012.02.09	1.29290	1.29347	1.28904	1.29235	71100	0	30
2012.02.10	1.29234	1.29246	1.28632	1.28958	70039	0	33
2012.02.13	1.28847	1.28942	1.28419	1.28531	76038	0	60
2012.02.14	1.28533	1.28722	1.27890	1.27921	75824	0	200
2012.02.15	1.27920	1.28290	1.27825	1.28271	77018	0	200
2012.02.16	1.28272	1.29283	1.28145	1.28836	88388	0	60
2012.02.17	1.28840	1.28878	1.28203	1.28483	71419	0	60
2012.02.20	1.28119	1.28335	1.27846	1.27922	59769	0	60
2012.02.21	1.27923	1.28085	1.27570	1.27633	74153	0	10
2012.02.22	1.27632	1.28389	1.27529	1.28182	72514	0	60
2012.02.23	1.28179	1.28407	1.27951	1.28128	62178	0	26
2012.02.24	1.28129	1.28132	1.27740	1.27800	55471	0	200
2012.02.27	1.27909	1.28170	1.27706	1.27824	64215	0	60
2012.02.28	1.27825	1.28586	1.27786	1.28405	62324	0	60
2012.02.29	1.28404	1.28539	1.27936	1.28484	71585	0	60
2012.03.01	1.28482	1.28933	1.28368	1.28571	65033	0	60
2012.03.02	1.28570	1.29525	1.28556	1.29354	57514	0	60
2012.03.05	1.29298	1.29943	1.29169	1.29778	62491	0	60
2012.03.06	1.29777	1.30525	1.29609	1.29708	67899	0	60
2012.03.07	1.29707	1.29946	1.28827	1.29621	68735	0	60
2012.03.08	1.29623	1.29702	1.28665	1.29075	65835	0	60
2012.03.09	1.29073	1.29123	1.28432	1.28606	59047	0	60
2012.03.12	1.28977	1.28977	1.28179	1.28235	58592	0	38
2012.03.13	1.28236	1.28350	1.27854	1.28110	57342	0	200
2012.03.14	1.28111	1.29295	1.28059	1.28947	65028	0	60
2012.03.15	1.28949	1.29202	1.28251	1.28279	68215	0	60
2012.03.16	1.28280	1.28681	1.27996	1.28267	53875	0	60
2012.03.19	1.28108	1.28558	1.28003	1.28288	55456	0	60
2012.03.20	1.28287	1.28667	1.27910	1.28200	60761	0	200
2012.03.21	1.28199	1.28768	1.27918	1.28566	64111	0	60
2012.03.22	1.28565	1.28604	1.27881	1.28191	70951	0	60
2012.03.23	1.28192	1.28195	1.27646	1.27729	56280	0	27
2012.03.26	1.27918	1.28241	1.27787	1.27856	59057	0	60
2012.03.27	1.27855	1.27926	1.27279	1.27289	51649	0	12
2012.03.28	1.27287	1.27382	1.26818	1.26931	62270	0	60
2012.03.29	1.26934	1.27046	1.26589	1.26857	63681	0	200
2012.03.30	1.26858	1.26899	1.25879	1.25941	58523	0	60
2012.04.02	1.26644	1.26935	1.26259	1.26259	59411	0	60
2012.04.03	1.26263	1.26788	1.25733	1.25940	69688	0	60
2012.04.04	1.25941	1.26237	1.25681	1.25922	70188	0	10
2012.04.05	1.25932	1.26396	1.25713	1.26179	63753	0	60
2012.04.06	1.26180	1.26256	1.25495	1.25624	34225	0	60
2012.04.09	1.25642	1.25894	1.25273	1.25367	40314	0	60
2012.04.10	1.25369	1.26229	1.25313	1.25642	68430	0	60
2012.04.11	1.25639	1.25981	1.25498	1.25812	64114	0	60
2012.04.12	1.25813	1.26637	1.25674	1.26039	67309	0	60
2012.04.13	1.26032	1.26032	1.25110	1.25934	66073	0	60
2012.04.16	1.25777	1.26586	1.25686	1.26185	67091	0	60
2012.04.17	1.26195	1.26806	1.26163	1.26443	60758	0	60
2012.04.18	1.26445	1.26905	1.26410	1.26874	61585	0	60
2012.04.19	1.26876	1.26980	1.26563	1.26790	67724	0	60
2012.04.20	1.26788	1.27165	1.26627	1.26629	57209	0	60
2012.04.23	1.26792	1.27038	1.26464	1.26762	57670	0	60
2012.04.24	1.26757	1.26931	1.26115	1.26854	64136	0	60
2012.04.25	1.26847	1.27349	1.26749	1.26855	61586	0	60
2012.04.26	1.26856	1.27669	1.26785	1.27422	61030	0	60
2012.04.27	1.27419	1.27790	1.27056	1.27203	61450	0	60
2012.04.30	1.27014	1.27468	1.26829	1.27301	53251	0	60
2012.05.01	1.27303	1.27451	1.26505	1.26686	49426	0	60
2012.05.02	1.26687	1.27585	1.26645	1.27571	59008	0	60
2012.05.03	1.27572	1.28272	1.27487	1.28163	62333	0	60
2012.05.04	1.28161	1.28476	1.27752	1.27877	58369	0	60
2012.05.07	1.27857	1.28306	1.27601	1.28192	59988	0	60
