<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.01	1.31259	1.31567	1.30757	1.30862	274911	0	60
2012.01.08	1.30680	1.30757	1.29093	1.29795	327923	0	35
2012.01.15	1.29545	1.30258	1.28659	1.29870	316303	0	23
2012.01.22	1.29900	1.30201	1.28896	1.29068	324152	0	10
2012.01.29	1.29095	1.29384	1.28168	1.28659	331704	0	10
2012.02.05	1.28897	1.29599	1.28221	1.28958	341776	0	30
2012.02.12	1.28847	1.29283	1.27825	1.28483	388687	0	60
2012.02.19	1.28119	1.28407	1.27529	1.27800	324085	0	10
2012.02.26	1.27909	1.29525	1.27706	1.29354	320671	0	60
2012.03.04	1.29298	1.30525	1.28432	1.28606	324007	0	60
2012.03.11	1.28977	1.29295	1.27854	1.28267	303052	0	38
2012.03.18	1.28108	1.28768	1.27646	1.27729	307559	0	27
2012.03.25	1.27918	1.28241	1.25879	1.25941	295180	0	12
2012.04.01	1.26644	1.26935	1.25495	1.25624	297265	0	10
2012.04.08	1.25642	1.26637	1.25110	1.25934	306240	0	60
2012.04.15	1.25777	1.27165	1.25686	1.26629	314367	0	60
2012.04.22	1.26792	1.27790	1.26115	1.27203	305872	0	60
2012.04.29	1.27014	1.28476	1.26505	1.27877	282387	0	60
2012.05.06	1.27857	1.28539	1.27601	1.27911	334189	0	60
2012.05.13	1.28039	1.30443	1.27901	1.29969	327109	0	60
2012.05.20	1.29986	1.30362	1.29087	1.29233	369596	0	21
2012.05.27	1.29164	1.29548	1.28228	1.28430	357004	0	36
2012.06.03	1.28417	1.29439	1.28111	1.28629	375702	0	60
2012.06.10	1.28456	1.28668	1.27464	1.27684	347856	0	60
2012.06.17	1.27878	1.28179	1.27039	1.27165	357745	0	32
2012.06.24	1.27273	1.27941	1.26710	1.27707	332259	0	51
2012.07.01	1.27925	1.28091	1.27322	1.27825	289820	0	25
2012.07.08	1.27918	1.28979	1.27752	1.28342	302537	0	34
2012.07.15	1.28354	1.29911	1.28238	1.29676	298650	0	37
2012.07.22	1.29718	1.30762	1.29097	1.29342	353693	0	60
2012.07.29	1.29301	1.30026	1.28715	1.28934	308516	0	20
2012.08.05	1.29128	1.30411	1.28563	1.29950	271071	0	47
2012.08.12	1.29974	1.30264	1.28816	1.28917	243150	0	19
