<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.01	1.02189	1.03854	1.01973	1.02260	315874	0	15
2012.01.08	1.02023	1.03768	1.01448	1.03227	361083	0	14
2012.01.15	1.02934	1.04873	1.02530	1.04828	356285	0	15
2012.01.22	1.04693	1.06870	1.04278	1.06565	348749	0	7
2012.01.29	1.06332	1.07931	1.05264	1.07669	376536	0	7
2012.02.05	1.07579	1.08436	1.06396	1.06716	394461	0	9
2012.02.12	1.07074	1.07977	1.06280	1.07002	372960	0	15
2012.02.19	1.07713	1.08146	1.05958	1.06945	344921	0	7
2012.02.26	1.07093	1.08550	1.06502	1.07300	363759	0	15
2012.03.04	1.07267	1.07382	1.05073	1.05746	345448	0	9
2012.03.11	1.05680	1.05965	1.04211	1.05884	331745	0	15
2012.03.18	1.06029	1.06364	1.03359	1.04620	342395	0	14
2012.03.25	1.04664	1.05562	1.03043	1.03433	332312	0	9
2012.04.01	1.04400	1.04626	1.02429	1.03008	319990	0	9
2012.04.08	1.02952	1.04508	1.02250	1.03710	331194	0	7
2012.04.15	1.03624	1.04173	1.03041	1.03786	346505	0	10
2012.04.22	1.03726	1.04738	1.02461	1.04689	328898	0	10
2012.04.29	1.04568	1.04684	1.01688	1.01783	289054	0	10
2012.05.06	1.01512	1.02184	1.00177	1.00185	358170	0	10
2012.05.13	1.00088	1.00334	0.97945	0.98430	375087	0	10
2012.05.20	0.98435	0.99344	0.96894	0.97566	400020	0	10
2012.05.27	0.98033	0.98969	0.95814	0.96914	413701	0	10
2012.06.03	0.97035	1.00018	0.96266	0.99127	428322	0	10
2012.06.10	0.99870	1.00882	0.98492	1.00717	398795	0	10
2012.06.17	1.01274	1.02233	1.00077	1.00600	407847	0	10
2012.06.24	1.00477	1.02566	0.99684	1.02359	437984	0	10
2012.07.01	1.02599	1.03284	1.01792	1.02085	419769	0	10
2012.07.08	1.01814	1.02806	1.01002	1.02252	427554	0	10
