<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.02	00:00:00	0.83413	0.83507	0.83391	0.83424	955	0	60
2012.01.02	01:00:00	0.83428	0.83439	0.83374	0.83391	1885	0	50
2012.01.02	02:00:00	0.83388	0.83415	0.83308	0.83387	721	0	50
2012.01.02	03:00:00	0.83389	0.83389	0.83290	0.83350	622	0	50
2012.01.02	04:00:00	0.83350	0.83399	0.83293	0.83307	1129	0	50
2012.01.02	05:00:00	0.83308	0.83323	0.83226	0.83263	780	0	44
2012.01.02	06:00:00	0.83344	0.83351	0.83265	0.83299	791	0	40
2012.01.02	07:00:00	0.83318	0.83410	0.83275	0.83334	1229	0	22
2012.01.02	08:00:00	0.83322	0.83546	0.83305	0.83470	2261	0	15
2012.01.02	09:00:00	0.83474	0.83562	0.83453	0.83471	2718	0	17
2012.01.02	10:00:00	0.83470	0.83580	0.83360	0.83459	3097	0	18
2012.01.02	11:00:00	0.83472	0.83552	0.83431	0.83504	2470	0	10
2012.01.02	12:00:00	0.83503	0.83533	0.83462	0.83509	1861	0	15
2012.01.02	13:00:00	0.83494	0.83518	0.83422	0.83465	2272	0	13
2012.01.02	14:00:00	0.83468	0.83521	0.83425	0.83476	2377	0	12
2012.01.02	15:00:00	0.83475	0.83520	0.83393	0.83489	2238	0	14
2012.01.02	16:00:00	0.83487	0.83541	0.83438	0.83516	2098	0	17
2012.01.02	17:00:00	0.83515	0.83524	0.83349	0.83378	1466	0	14
2012.01.02	18:00:00	0.83381	0.83399	0.83350	0.83373	1113	0	10
2012.01.02	19:00:00	0.83374	0.83401	0.83301	0.83325	1266	0	20
2012.01.02	20:00:00	0.83326	0.83446	0.83298	0.83369	974	0	30
2012.01.02	21:00:00	0.83370	0.83417	0.83342	0.83377	982	0	30
2012.01.02	22:00:00	0.83377	0.83384	0.83336	0.83368	953	0	30
2012.01.02	23:00:00	0.83366	0.83412	0.83316	0.83354	936	0	31
2012.01.03	00:00:00	0.83353	0.83430	0.83344	0.83349	1117	0	30
2012.01.03	01:00:00	0.83350	0.83488	0.83350	0.83480	1394	0	30
2012.01.03	02:00:00	0.83481	0.83519	0.83422	0.83509	1466	0	30
2012.01.03	03:00:00	0.83510	0.83582	0.83501	0.83532	988	0	50
2012.01.03	04:00:00	0.83531	0.83552	0.83511	0.83513	705	0	50
2012.01.03	05:00:00	0.83512	0.83534	0.83490	0.83500	589	0	50
2012.01.03	06:00:00	0.83514	0.83523	0.83434	0.83459	1850	0	12
2012.01.03	07:00:00	0.83467	0.83503	0.83377	0.83452	2605	0	10
2012.01.03	08:00:00	0.83451	0.83533	0.83341	0.83365	3602	0	10
2012.01.03	09:00:00	0.83362	0.83458	0.83357	0.83381	3739	0	10
2012.01.03	10:00:00	0.83380	0.83527	0.83285	0.83510	3793	0	10
2012.01.03	11:00:00	0.83512	0.83672	0.83476	0.83628	3236	0	28
2012.01.03	12:00:00	0.83627	0.83668	0.83500	0.83562	3542	0	28
