<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.01	0.83413	0.83715	0.82379	0.82430	250480	0	10
2012.01.08	0.82331	0.83752	0.82208	0.82735	292823	0	9
2012.01.15	0.82623	0.83770	0.82541	0.83016	279135	0	8
2012.01.22	0.82869	0.84067	0.82823	0.84029	285680	0	4
2012.01.29	0.84010	0.84049	0.82745	0.83126	310932	0	4
2012.02.05	0.82935	0.84051	0.82640	0.83746	290380	0	5
2012.02.12	0.83816	0.84013	0.82767	0.82987	293535	0	10
2012.02.19	0.83202	0.85043	0.83149	0.84717	272422	0	5
2012.02.26	0.84701	0.84885	0.83134	0.83336	277262	0	10
2012.03.04	0.83333	0.83977	0.83177	0.83711	249503	0	4
2012.03.11	0.83704	0.84214	0.82931	0.83130	243233	0	10
2012.03.18	0.83173	0.83709	0.82829	0.83602	237821	0	10
2012.03.25	0.83576	0.83946	0.83235	0.83251	257460	0	5
2012.04.01	0.83414	0.83578	0.82341	0.82413	270548	0	5
2012.04.08	0.82375	0.82760	0.82264	0.82493	278039	0	4
2012.04.15	0.82409	0.82677	0.81615	0.81952	290811	0	5
2012.04.22	0.81784	0.82211	0.81336	0.81469	276073	0	5
2012.04.29	0.81349	0.81974	0.80943	0.81000	245978	0	5
2012.05.06	0.80626	0.80788	0.79959	0.80358	285552	0	5
2012.05.13	0.80203	0.80798	0.79496	0.80773	275736	0	5
2012.05.20	0.80798	0.81014	0.79795	0.79877	294807	0	5
2012.05.27	0.80160	0.80937	0.79709	0.80904	291421	0	5
2012.06.03	0.80886	0.81394	0.80501	0.80891	299015	0	5
2012.06.10	0.81471	0.81525	0.80117	0.80406	296722	0	5
2012.06.17	0.80915	0.81094	0.80221	0.80614	295460	0	5
2012.06.24	0.80532	0.80935	0.79839	0.80610	290450	0	5
2012.07.01	0.80717	0.80765	0.79242	0.79312	281572	0	5
2012.07.08	0.79244	0.79477	0.78555	0.78629	264410	0	5
2012.07.15	0.78604	0.78748	0.77707	0.77791	269946	0	5
2012.07.22	0.77657	0.78726	0.77622	0.78218	305163	0	5
2012.07.29	0.78172	0.79230	0.77901	0.79156	288741	0	5
2012.08.05	0.79250	0.79623	0.78279	0.78318	261976	0	5
2012.08.12	0.78361	0.78837	0.78122	0.78558	237226	0	5
2012.08.19	0.78594	0.79327	0.78329	0.79115	245171	0	5
2012.08.26	0.79093	0.79559	0.79010	0.79291	213305	0	5
2012.09.02	0.79203	0.80063	0.78870	0.80044	241041	0	5
2012.09.09	0.79968	0.81143	0.79669	0.80934	264677	0	5
2012.09.16	0.80854	0.81012	0.79745	0.79964	253614	0	5
2012.09.23	0.79889	0.79950	0.79229	0.79535	263091	0	5
2012.09.30	0.79529	0.80792	0.79411	0.80765	245138	0	5
2012.10.07	0.80695	0.80982	0.80214	0.80556	231271	0	5
2012.10.14	0.80560	0.81464	0.80388	0.81322	233579	0	5
2012.10.21	0.81338	0.81642	0.80010	0.80345	224060	0	5
2012.10.28	0.80338	0.80749	0.79956	0.80079	269991	0	3
2012.11.04	0.80017	0.80296	0.79596	0.79919	417969	0	5
2012.11.11	0.79948	0.80644	0.79690	0.80205	393309	0	5
2012.11.18	0.80165	0.81081	0.80047	0.80874	391000	0	5
2012.11.25	0.80946	0.81318	0.80588	0.81081	384642	0	5
2012.12.02	0.81087	0.81471	0.80448	0.80575	369104	0	4
2012.12.09	0.80440	0.81444	0.80344	0.81356	377157	0	4
2012.12.16	0.81475	0.81677	0.81106	0.81509	401125	0	4
2012.12.23	0.81540	0.82248	0.81471	0.81741	251552	0	4
2012.12.30	0.81738	0.81855	0.80846	0.81297	338437	0	5
2013.01.06	0.81338	0.82858	0.81043	0.82699	461209	0	5
2013.01.13	0.82852	0.83961	0.82643	0.83906	488056	0	5
2013.01.20	0.83957	0.85361	0.83632	0.85168	453630	0	5
2013.01.27	0.85307	0.87158	0.85259	0.86897	475559	0	5
2013.02.03	0.86899	0.86923	0.84458	0.84516	487460	0	5
2013.02.10	0.84663	0.86831	0.84558	0.86063	462706	0	3
2013.02.17	0.86119	0.87640	0.85999	0.86974	453296	0	3
2013.02.24	0.87310	0.88146	0.85748	0.86560	546953	0	3
2013.03.03	0.86573	0.87419	0.85888	0.87093	130624	0	2
2013.03.10	0.87121	0.87934	0.86020	0.86492	196378	0	1
2013.03.17	0.85406	0.86008	0.84842	0.85255	250409	0	1
2013.03.24	0.85140	0.85608	0.84154	0.84269	214987	0	1
2013.03.31	0.84287	0.85209	0.84102	0.84706	205121	0	1
2013.04.07	0.84736	0.85599	0.84626	0.85427	223636	0	1
2013.04.14	0.85403	0.86363	0.85031	0.85667	258731	0	4
2013.04.21	0.85787	0.85895	0.83973	0.84171	252411	0	3
2013.04.28	0.84329	0.84971	0.84039	0.84185	209836	0	1
2013.05.05	0.84242	0.84884	0.84003	0.84531	202376	0	1
2013.05.12	0.84501	0.85164	0.84208	0.84611	251998	0	1
2013.05.19	0.84542	0.85972	0.84398	0.85471	283535	0	1
2013.05.26	0.85490	0.85981	0.85282	0.85485	311636	0	3
2013.06.02	0.85472	0.85586	0.84765	0.84918	352758	0	3
2013.06.09	0.84932	0.85506	0.84688	0.84940	350412	0	3
2013.06.16	0.84950	0.85903	0.84756	0.85070	319638	0	3
2013.06.23	0.85125	0.85899	0.84688	0.85486	325428	0	3
2013.06.30	0.85568	0.86327	0.84816	0.86130	272415	0	3
2013.07.07	0.86164	0.86937	0.85749	0.86457	303025	0	3
2013.07.14	0.86464	0.87107	0.85897	0.86018	262991	0	1
2013.07.21	0.86053	0.86437	0.85818	0.86293	240557	0	1
2013.07.28	0.86307	0.87692	0.86212	0.86811	260544	0	1
2013.08.04	0.86890	0.87308	0.85784	0.86052	243988	0	1
2013.08.11	0.86004	0.86096	0.85047	0.85250	235578	0	1
2013.08.18	0.85301	0.86031	0.85094	0.85932	227100	0	1
2013.08.25	0.85902	0.86519	0.85192	0.85209	208592	0	1
2013.09.01	0.85120	0.85203	0.83921	0.84283	189947	0	1
2013.09.08	0.84268	0.84532	0.83564	0.83710	173710	0	1
2013.09.15	0.83841	0.84596	0.83523	0.84453	192893	0	1
2013.09.22	0.84575	0.84588	0.83619	0.83776	172221	0	1
2013.09.29	0.83531	0.84754	0.83325	0.84662	200644	0	1
2013.10.06	0.84627	0.85091	0.84247	0.84800	167212	0	1
2013.10.13	0.84885	0.84959	0.84301	0.84629	176993	0	1
2013.10.20	0.84594	0.85549	0.84504	0.85366	175366	0	1
2013.10.27	0.85371	0.85847	0.84445	0.84660	202762	0	1
2013.11.03	0.84700	0.84767	0.83001	0.83405	194714	0	1
2013.11.10	0.83438	0.84632	0.83387	0.83715	208640	0	1
2013.11.17	0.83691	0.84145	0.83164	0.83533	211177	0	1
2013.11.24	0.83470	0.83909	0.82970	0.82997	181209	0	1
2013.12.01	0.82969	0.83886	0.82524	0.83813	219447	0	1
2013.12.08	0.83864	0.84402	0.83503	0.84265	184149	0	1
2013.12.15	0.84229	0.84663	0.83302	0.83630	195380	0	1
2013.12.22	0.83733	0.83918	0.83290	0.83380	106138	0	1
2013.12.29	0.83452	0.83728	0.82698	0.82740	156376	0	1
2014.01.05	0.82846	0.83313	0.82303	0.82877	195954	0	1
2014.01.12	0.82885	0.83485	0.82338	0.82426	194264	0	1
2014.01.19	0.82426	0.83003	0.81680	0.82949	191549	0	1
2014.01.26	0.83015	0.83058	0.81881	0.81992	205546	0	1
2014.02.02	0.82072	0.83496	0.82022	0.83070	235129	0	1
2014.02.09	0.83014	0.83365	0.81742	0.81748	192823	0	1
2014.02.16	0.81752	0.82678	0.81574	0.82678	187110	0	1
2014.02.23	0.82597	0.82860	0.81906	0.82427	194117	0	1
2014.03.02	0.82320	0.83007	0.82036	0.82993	194096	0	0
2014.03.09	0.82975	0.83804	0.82915	0.83562	322134	0	0
2014.03.16	0.83594	0.83998	0.83283	0.83642	306959	0	0
2014.03.23	0.83650	0.83929	0.82457	0.82635	326955	0	0
2014.03.30	0.82623	0.83141	0.82494	0.82641	307026	0	0
2014.04.06	0.82662	0.83096	0.82309	0.82977	240377	0	1
2014.04.13	0.82777	0.82839	0.82145	0.82214	177418	0	1
2014.04.20	0.82230	0.82459	0.81977	0.82322	161544	0	1
2014.04.27	0.82341	0.82587	0.81961	0.82192	206094	0	1
2014.05.04	0.82199	0.82482	0.81605	0.81624	217010	0	1
2014.05.11	0.81654	0.81833	0.81265	0.81432	199254	0	1
2014.05.18	0.81419	0.81579	0.80815	0.80950	224587	0	1
2014.05.25	0.80929	0.81520	0.80847	0.81365	136295	0	0
2014.06.01	0.81325	0.81495	0.80644	0.81174	196057	0	1
2014.06.08	0.81176	0.81222	0.79719	0.79794	182981	0	1
2014.06.15	0.79746	0.80248	0.79588	0.79921	186694	0	1
2014.06.22	0.79868	0.80335	0.79766	0.80073	169802	0	1
2014.06.29	0.80095	0.80271	0.79190	0.79215	203162	0	2
2014.07.06	0.79194	0.79683	0.79146	0.79441	215095	0	1
2014.07.13	0.79464	0.79805	0.78884	0.79163	197185	0	1
2014.07.20	0.79182	0.79391	0.78737	0.79084	202235	0	1
2014.07.27	0.79104	0.79846	0.79039	0.79819	191684	0	1
2014.08.03	0.79801	0.79971	0.79156	0.79946	208584	0	8
2014.08.10	0.79923	0.80356	0.79191	0.80229	186632	0	8
2014.08.17	0.80106	0.80272	0.79693	0.79930	184458	0	2
2014.08.24	0.79722	0.79785	0.79091	0.79112	235747	0	3
2014.08.31	0.79136	0.79961	0.78911	0.79315	235012	0	1
2014.09.07	0.80007	0.80657	0.79404	0.79650	302250	0	1
2014.09.14	0.79697	0.80094	0.78097	0.78746	352817	0	1
2014.09.21	0.78733	0.78895	0.77853	0.78029	349508	0	1
2014.09.28	0.78083	0.78608	0.77663	0.78352	329144	0	1
2014.10.05	0.78354	0.78998	0.78287	0.78542	346321	0	1
2014.10.12	0.78582	0.80465	0.78528	0.79277	404411	0	1
2014.10.19	0.79237	0.79413	0.78702	0.78725	328512	0	6
2014.10.26	0.78755	0.79111	0.78226	0.78262	347842	0	1
2014.11.02	0.78293	0.78632	0.77975	0.78462	375256	0	1
2014.11.09	0.78467	0.80000	0.78007	0.79887	365443	0	1
2014.11.16	0.79903	0.80385	0.79057	0.79116	314159	0	1
2014.11.23	0.79035	0.79698	0.78966	0.79552	280063	32707500000	1
2014.11.30	0.79617	0.79762	0.78319	0.78833	270018	0	1
2014.12.07	0.78811	0.79540	0.78445	0.79241	336563	412602063000	1
2014.12.14	0.79226	0.80064	0.78089	0.78089	342485	415675438000	0
2014.12.21	0.78192	0.78677	0.78185	0.78233	565867	749312783000	0
2014.12.28	0.78242	0.78531	0.77444	0.78284	229356	214685028000	0
2015.01.04	0.78090	0.78738	0.77839	0.78089	400091	0	5
2015.01.11	0.78047	0.78298	0.75947	0.76314	453554	0	4
2015.01.18	0.76342	0.77124	0.74281	0.74717	230049	0	7
2015.01.25	0.74346	0.75356	0.74038	0.74919	240577	9881735000	1
2015.02.01	0.74904	0.75916	0.74167	0.74219	362208	0	4
2015.02.08	0.74170	0.74585	0.73713	0.73893	339718	0	7
2015.02.15	0.73872	0.74432	0.73397	0.73879	356096	0	1
2015.02.22	0.73986	0.74050	0.72457	0.72492	334606	0	7
2015.03.01	0.72460	0.73012	0.71823	0.72067	327557	0	7
2015.03.08	0.72009	0.72194	0.70138	0.71111	388543	0	7
2015.03.15	0.71140	0.72908	0.71027	0.72324	406052	0	1
2015.03.22	0.72566	0.73842	0.72273	0.73112	402917	0	7
2015.03.29	0.73106	0.73786	0.72219	0.73537	323578	0	7
2015.04.05	0.73537	0.73778	0.72235	0.72459	334522	0	4
2015.04.12	0.72459	0.72697	0.71633	0.72236	416639	0	4
2015.04.19	0.72236	0.72316	0.71166	0.71566	506887	0	4
2015.04.26	0.71586	0.74195	0.71315	0.73898	602424	0	6
2015.05.03	0.73869	0.74826	0.72247	0.72569	188306	0	2
2015.05.10	0.72488	0.72820	0.71224	0.72767	386946	0	7
2015.05.17	0.72696	0.72827	0.70885	0.71055	475774	0	5
2015.05.24	0.71098	0.72006	0.70545	0.71889	455629	0	8
2015.05.31	0.71776	0.73852	0.71448	0.72777	511288	0	3
2015.06.07	0.72698	0.73886	0.71961	0.72368	585342	0	7
2015.06.14	0.72083	0.72499	0.71246	0.71459	561317	0	7
2015.06.21	0.71617	0.72105	0.70739	0.70929	554067	0	7
2015.06.28	0.70082	0.71667	0.69863	0.71295	628454	0	4
2015.07.05	0.70617	0.72231	0.70525	0.71849	671704	0	4
2015.07.12	0.71491	0.72011	0.69355	0.69370	620545	0	5
2015.07.19	0.69388	0.71017	0.69361	0.70744	743586	348457371000	5
2015.07.26	0.70752	0.71602	0.69846	0.70294	700214	968147479000	1
2015.08.02	0.70198	0.70952	0.69505	0.70744	688107	899684867000	1
2015.08.09	0.70680	0.71698	0.70385	0.70989	582089	644922931000	5
2015.08.16	0.70938	0.72591	0.70260	0.72515	656654	824945122000	0
2015.08.23	0.72476	0.74217	0.72438	0.72626	996560	1059103222000	0
2015.08.30	0.72430	0.73945	0.72388	0.73448	692829	820685834000	7
2015.09.06	0.73446	0.73567	0.72399	0.73475	627541	765235188000	7
2015.09.13	0.73382	0.73590	0.72621	0.72733	584726	708646183000	7
