<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.02	99.796	99.851	99.348	99.455	53322	0	20
2012.01.03	99.458	100.293	99.435	100.122	96501	0	20
2012.01.04	100.121	100.178	99.041	99.277	98790	0	20
2012.01.05	99.276	99.342	98.470	98.637	104795	0	20
2012.01.06	98.640	98.841	97.871	97.895	94516	0	20
2012.01.09	97.477	98.243	97.273	98.124	96903	0	20
2012.01.10	98.124	98.450	97.955	98.110	96350	0	9
2012.01.11	98.115	98.364	97.430	97.697	98297	0	20
2012.01.12	97.692	98.552	97.661	98.364	84041	0	20
2012.01.13	98.368	98.790	97.188	97.543	75693	0	8
2012.01.16	97.194	97.386	97.029	97.151	62641	0	20
2012.01.17	97.149	98.318	97.136	97.873	84052	0	20
2012.01.18	97.878	98.864	97.679	98.679	103821	0	20
2012.01.19	98.676	100.047	98.543	99.956	101821	0	20
2012.01.20	99.955	100.321	99.412	99.568	94877	0	20
2012.01.23	99.129	100.475	99.129	100.173	94439	0	4
2012.01.24	100.171	101.288	100.014	101.172	96038	0	4
2012.01.25	101.172	101.961	100.965	101.757	106602	0	20
2012.01.26	101.758	102.195	101.407	101.495	96632	0	8
2012.01.27	101.494	101.565	100.588	101.344	105319	0	20
2012.01.30	101.426	101.445	99.986	100.354	102460	0	20
2012.01.31	100.356	100.875	99.542	99.855	106358	0	4
2012.02.01	99.854	100.683	99.241	100.339	103840	0	20
2012.02.02	100.337	100.450	99.610	100.128	99620	0	4
2012.02.03	100.129	100.852	99.920	100.762	94928	0	4
2012.02.06	100.454	100.600	99.845	100.479	98506	0	20
2012.02.07	100.477	101.976	100.362	101.835	101935	0	20
2012.02.08	101.837	102.436	101.643	102.093	103046	0	20
2012.02.09	102.093	103.278	101.845	103.151	105146	0	20
2012.02.10	103.150	103.207	102.152	102.412	99139	0	20
2012.02.13	102.795	103.172	102.164	102.175	97668	0	20
2012.02.14	102.177	103.171	101.820	102.933	107710	0	20
2012.02.15	102.935	103.477	102.185	102.371	109334	0	20
2012.02.16	102.370	103.813	101.917	103.574	105952	0	20
2012.02.17	103.576	104.658	103.427	104.534	96572	0	20
2012.02.20	105.284	105.737	104.646	105.366	95635	0	20
2012.02.21	105.364	105.993	105.035	105.506	106738	0	6
2012.02.22	105.505	106.558	105.473	106.362	103009	0	20
2012.02.23	106.364	107.007	106.153	106.954	100703	0	20
2012.02.24	106.951	109.234	106.851	109.193	103015	0	20
2012.02.27	109.805	109.826	107.185	107.796	110317	0	20
2012.02.28	107.797	108.731	107.286	108.326	113023	0	20
2012.02.29	108.327	108.710	107.874	108.293	117399	0	20
2012.03.01	108.293	108.437	107.678	108.030	109474	0	20
2012.03.02	108.029	108.440	107.562	107.953	103302	0	20
2012.03.05	108.006	108.013	106.917	107.725	99453	0	20
2012.03.06	107.725	107.849	105.638	105.856	111632	0	20
2012.03.07	105.854	106.787	105.692	106.726	106322	0	20
2012.03.08	106.725	108.450	106.583	108.244	109278	0	20
2012.03.09	108.243	108.637	107.686	108.200	104029	0	20
2012.03.12	108.130	108.293	107.505	108.281	100920	0	20
2012.03.13	108.283	108.715	107.884	108.555	106830	0	20
2012.03.14	108.553	109.363	108.371	109.123	105452	0	20
2012.03.15	109.125	109.626	108.584	109.301	108294	0	20
2012.03.16	109.299	109.974	109.004	109.926	92997	0	20
2012.03.19	110.056	110.550	109.170	110.343	96835	0	20
2012.03.20	110.345	110.817	110.277	110.693	88326	0	20
2012.03.21	110.695	111.422	110.036	110.221	98572	0	20
2012.03.22	110.220	110.455	108.480	109.048	109828	0	20
2012.03.23	109.047	109.818	108.574	109.237	99954	0	20
2012.03.26	109.373	110.711	109.172	110.685	100041	0	20
2012.03.27	110.684	111.246	110.344	110.799	90965	0	4
2012.03.28	110.801	110.908	109.865	110.357	100920	0	6
2012.03.29	110.355	110.501	108.768	109.568	101509	0	20
2012.03.30	109.567	110.593	109.028	110.524	106034	0	20
2012.04.02	110.810	111.132	108.948	109.322	89517	0	15
2012.04.03	109.324	109.801	108.685	109.592	104310	0	15
2012.04.04	109.591	109.690	107.893	108.287	106941	0	4
2012.04.05	108.290	108.401	106.881	107.596	99707	0	15
2012.04.06	107.595	107.823	106.539	106.816	64553	0	15
2012.04.09	106.796	107.234	106.109	106.906	78218	0	15
2012.04.10	106.905	107.459	105.470	105.603	107747	0	15
2012.04.11	105.604	106.675	105.443	106.008	101887	0	10
2012.04.12	106.006	106.791	105.956	106.638	99217	0	11
2012.04.13	106.637	107.086	105.732	105.806	92088	0	15
2012.04.16	105.786	105.807	104.630	105.612	101025	0	15
2012.04.17	105.613	106.300	105.275	106.180	94021	0	15
2012.04.18	106.178	106.883	106.163	106.628	96401	0	15
2012.04.19	106.628	107.324	106.504	107.178	98943	0	15
2012.04.20	107.179	107.986	107.094	107.755	87985	0	15
2012.04.23	107.615	107.795	106.313	106.781	74457	0	15
2012.04.24	106.780	107.389	106.308	107.295	83074	0	12
2012.04.25	107.293	107.639	107.115	107.511	91453	0	15
2012.04.26	107.514	107.642	106.483	106.843	90557	0	15
2012.04.27	106.842	107.468	106.154	106.361	95810	0	15
2012.04.30	106.363	106.425	105.450	105.700	77648	0	15
2012.05.01	105.701	106.197	105.532	106.019	72376	0	15
2012.05.02	106.016	106.534	105.132	105.388	86378	0	15
2012.05.03	105.387	106.113	105.300	105.460	76018	0	15
2012.05.04	105.460	105.562	104.391	104.464	75730	0	15
2012.05.07	103.887	104.439	103.225	104.315	91162	0	15
2012.05.08	104.317	104.427	103.522	103.839	92060	0	15
2012.05.09	103.841	103.925	102.752	102.993	98910	0	15
2012.05.10	102.994	103.761	102.931	103.316	93307	0	15
2012.05.11	103.315	103.583	102.963	103.230	89328	0	15
2012.05.14	103.020	103.360	102.222	102.426	72759	0	15
2012.05.15	102.428	102.864	102.041	102.165	76333	0	15
2012.05.16	102.164	102.700	101.902	102.158	82013	0	15
2012.05.17	102.160	102.374	100.555	100.589	83336	0	15
2012.05.18	100.591	101.086	100.203	100.951	92948	0	15
2012.05.21	101.207	101.694	100.856	101.544	97060	0	15
2012.05.22	101.547	102.112	101.121	101.401	100524	0	15
2012.05.23	101.403	101.464	99.527	99.999	110824	0	15
2012.05.24	100.001	100.249	99.356	99.767	105963	0	15
2012.05.25	99.766	100.316	99.472	99.720	95633	0	7
2012.05.28	100.142	100.215	99.500	99.656	84479	0	15
2012.05.29	99.658	99.931	98.933	99.301	103138	0	15
2012.05.30	99.301	99.363	97.750	97.843	109710	0	14
2012.05.31	97.845	98.018	96.503	96.858	113116	0	14
2012.06.01	96.859	97.464	95.581	96.981	115944	0	15
2012.06.04	97.129	97.993	96.755	97.872	104365	0	15
2012.06.05	97.871	98.295	97.037	98.045	103607	0	15
2012.06.06	98.046	99.710	97.914	99.676	114495	0	14
2012.06.07	99.678	100.612	99.406	100.087	113195	0	15
2012.06.08	100.086	100.256	98.548	99.460	109938	0	15
2012.06.11	100.528	100.907	98.931	98.951	109638	0	15
2012.06.12	98.952	99.776	98.705	99.490	112721	0	15
2012.06.13	99.491	100.093	99.287	99.821	108873	0	15
2012.06.14	99.819	100.290	99.462	100.268	103371	0	15
2012.06.15	100.270	100.342	99.077	99.412	103425	0	15
2012.06.18	100.526	100.842	99.112	99.471	112298	0	15
2012.06.19	99.471	100.480	99.176	100.209	101862	0	15
2012.06.20	100.211	101.393	99.817	100.904	106488	0	15
2012.06.21	100.906	101.615	100.511	100.647	111611	0	15
2012.06.22	100.648	101.219	100.377	101.065	102113	0	15
2012.06.25	101.014	101.105	99.152	99.555	97877	0	12
2012.06.26	99.554	99.875	98.740	99.305	100792	0	15
2012.06.27	99.303	99.603	99.063	99.359	95217	0	14
2012.06.28	99.358	99.466	98.322	98.798	100030	0	15
2012.06.29	98.797	101.381	98.523	101.044	112771	0	15
2012.07.02	101.257	101.258	99.754	100.066	91297	0	15
2012.07.03	100.066	100.815	99.880	100.618	92091	0	15
2012.07.04	100.621	100.656	99.790	100.049	83982	0	15
2012.07.05	100.049	100.330	98.784	99.004	98405	0	9
2012.07.06	99.006	99.090	97.628	97.851	94266	0	15
2012.07.09	97.717	98.122	97.474	97.960	86403	0	14
