<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.02	00:00:00	99.796	99.851	99.524	99.539	5733	0	38
2012.01.02	04:00:00	99.536	99.645	99.406	99.494	6631	0	27
2012.01.02	08:00:00	99.493	99.722	99.410	99.556	12975	0	23
2012.01.02	12:00:00	99.555	99.610	99.401	99.459	12683	0	20
2012.01.02	16:00:00	99.459	99.535	99.348	99.403	8655	0	20
2012.01.02	20:00:00	99.402	99.470	99.358	99.455	6645	0	28
2012.01.03	00:00:00	99.458	99.798	99.435	99.732	11420	0	24
2012.01.03	04:00:00	99.731	99.775	99.599	99.659	12287	0	20
2012.01.03	08:00:00	99.660	100.094	99.652	100.007	19750	0	23
2012.01.03	12:00:00	100.003	100.118	99.826	99.963	20253	0	20
2012.01.03	16:00:00	99.965	100.293	99.960	100.158	19414	0	20
2012.01.03	20:00:00	100.157	100.231	99.982	100.122	13377	0	22
2012.01.04	00:00:00	100.121	100.178	99.831	99.851	13407	0	22
2012.01.04	04:00:00	99.852	99.990	99.827	99.989	12938	0	20
2012.01.04	08:00:00	99.987	100.149	99.692	99.749	20175	0	20
2012.01.04	12:00:00	99.748	99.793	99.269	99.390	20904	0	20
2012.01.04	16:00:00	99.391	99.423	99.041	99.290	18147	0	20
2012.01.04	20:00:00	99.291	99.365	99.188	99.277	13219	0	25
2012.01.05	00:00:00	99.276	99.310	99.076	99.223	14104	0	23
2012.01.05	04:00:00	99.224	99.230	99.053	99.124	13569	0	24
2012.01.05	08:00:00	99.121	99.342	98.561	98.623	21942	0	20
2012.01.05	12:00:00	98.622	98.831	98.470	98.700	22001	0	20
2012.01.05	16:00:00	98.699	98.789	98.599	98.664	19688	0	20
2012.01.05	20:00:00	98.661	98.822	98.564	98.637	13491	0	23
2012.01.06	00:00:00	98.640	98.774	98.611	98.731	12614	0	22
2012.01.06	04:00:00	98.729	98.776	98.564	98.645	13855	0	20
2012.01.06	08:00:00	98.637	98.841	98.503	98.667	20094	0	20
2012.01.06	12:00:00	98.665	98.732	97.955	98.066	21188	0	20
2012.01.06	16:00:00	98.064	98.115	97.903	98.007	18050	0	20
2012.01.06	20:00:00	98.005	98.024	97.871	97.895	8715	0	20
2012.01.09	00:00:00	97.477	97.749	97.273	97.657	15140	0	23
2012.01.09	04:00:00	97.660	97.877	97.598	97.854	12085	0	20
2012.01.09	08:00:00	97.856	98.243	97.830	98.013	20201	0	20
2012.01.09	12:00:00	98.012	98.098	97.825	97.917	20128	0	20
2012.01.09	16:00:00	97.919	98.002	97.806	97.999	17686	0	20
2012.01.09	20:00:00	97.998	98.150	97.978	98.124	11663	0	20
2012.01.10	00:00:00	98.124	98.262	98.039	98.067	13655	0	32
2012.01.10	04:00:00	98.066	98.267	98.055	98.195	13783	0	38
2012.01.10	08:00:00	98.196	98.418	97.955	98.341	20101	0	22
2012.01.10	12:00:00	98.339	98.450	98.108	98.255	19631	0	24
2012.01.10	16:00:00	98.253	98.330	98.063	98.167	17225	0	9
2012.01.10	20:00:00	98.168	98.248	98.091	98.110	11955	0	22
2012.01.11	00:00:00	98.115	98.153	97.914	97.958	13385	0	22
2012.01.11	04:00:00	97.959	98.134	97.932	98.119	12258	0	25
2012.01.11	08:00:00	98.120	98.364	98.022	98.220	19591	0	20
2012.01.11	12:00:00	98.222	98.222	97.586	97.588	21613	0	20
2012.01.11	16:00:00	97.588	97.726	97.430	97.620	19425	0	20
2012.01.11	20:00:00	97.618	97.735	97.565	97.697	12025	0	22
2012.01.12	00:00:00	97.692	97.838	97.661	97.804	13101	0	22
2012.01.12	04:00:00	97.803	97.808	97.691	97.785	11960	0	20
2012.01.12	08:00:00	97.786	98.139	97.696	98.088	19814	0	20
2012.01.12	12:00:00	98.088	98.381	97.756	98.381	17523	0	20
2012.01.12	16:00:00	98.380	98.552	98.161	98.482	13431	0	24
2012.01.12	20:00:00	98.484	98.491	98.328	98.364	8212	0	38
2012.01.13	00:00:00	98.368	98.460	98.339	98.399	7906	0	23
2012.01.13	04:00:00	98.398	98.790	98.376	98.665	9783	0	22
2012.01.13	08:00:00	98.666	98.765	98.010	98.112	16677	0	8
2012.01.13	12:00:00	98.113	98.215	97.504	97.539	16917	0	20
2012.01.13	16:00:00	97.541	97.591	97.188	97.399	16068	0	9
2012.01.13	20:00:00	97.400	97.604	97.285	97.543	8342	0	20
2012.01.16	00:00:00	97.194	97.361	97.029	97.113	8977	0	20
2012.01.16	04:00:00	97.112	97.237	97.042	97.228	8853	0	20
2012.01.16	08:00:00	97.227	97.386	97.092	97.253	15573	0	20
2012.01.16	12:00:00	97.255	97.336	97.150	97.187	12450	0	20
2012.01.16	16:00:00	97.188	97.331	97.156	97.207	10508	0	20
2012.01.16	20:00:00	97.208	97.282	97.148	97.151	6280	0	20
2012.01.17	00:00:00	97.149	97.738	97.136	97.727	10170	0	20
2012.01.17	04:00:00	97.727	97.758	97.521	97.543	10732	0	20
2012.01.17	08:00:00	97.542	98.215	97.523	98.112	17252	0	20
2012.01.17	12:00:00	98.113	98.318	97.648	97.676	16868	0	20
2012.01.17	16:00:00	97.679	97.927	97.671	97.830	17569	0	20
2012.01.17	20:00:00	97.826	97.909	97.711	97.873	11461	0	22
2012.01.18	00:00:00	97.878	98.027	97.832	98.011	13016	0	22
2012.01.18	04:00:00	98.007	98.047	97.804	97.865	14249	0	20
2012.01.18	08:00:00	97.867	98.573	97.679	98.447	22799	0	20
2012.01.18	12:00:00	98.446	98.692	98.156	98.607	21235	0	22
2012.01.18	16:00:00	98.609	98.772	98.359	98.630	19569	0	20
2012.01.18	20:00:00	98.629	98.864	98.550	98.679	12953	0	22
2012.01.19	00:00:00	98.676	98.823	98.543	98.720	13166	0	22
2012.01.19	04:00:00	98.719	98.793	98.606	98.688	13496	0	20
2012.01.19	08:00:00	98.690	99.008	98.544	98.912	21005	0	20
2012.01.19	12:00:00	98.913	99.242	98.889	99.224	20750	0	20
