<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.01	99.796	100.293	97.871	97.895	447924	0	20
2012.01.08	97.477	98.790	97.188	97.543	451284	0	8
2012.01.15	97.194	100.321	97.029	99.568	447212	0	20
2012.01.22	99.129	102.195	99.129	101.344	499030	0	4
2012.01.29	101.426	101.445	99.241	100.762	507206	0	4
2012.02.05	100.454	103.278	99.845	102.412	507772	0	20
2012.02.12	102.795	104.658	101.820	104.534	517236	0	20
2012.02.19	105.284	109.234	104.646	109.193	509100	0	6
2012.02.26	109.805	109.826	107.185	107.953	553515	0	20
2012.03.04	108.006	108.637	105.638	108.200	530714	0	20
2012.03.11	108.130	109.974	107.505	109.926	514493	0	20
2012.03.18	110.056	111.422	108.480	109.237	493515	0	20
2012.03.25	109.373	111.246	108.768	110.524	499469	0	4
2012.04.01	110.810	111.132	106.539	106.816	465028	0	4
2012.04.08	106.796	107.459	105.443	105.806	479157	0	10
2012.04.15	105.786	107.986	104.630	107.755	478375	0	15
2012.04.22	107.615	107.795	106.154	106.361	435351	0	12
2012.04.29	106.363	106.534	104.391	104.464	388150	0	15
2012.05.06	103.887	104.439	102.752	103.230	464767	0	15
2012.05.13	103.020	103.360	100.203	100.951	407389	0	15
2012.05.20	101.207	102.112	99.356	99.720	510004	0	7
2012.05.27	100.142	100.215	95.581	96.981	526387	0	14
2012.06.03	97.129	100.612	96.755	99.460	545600	0	14
2012.06.10	100.528	100.907	98.705	99.412	538028	0	15
2012.06.17	100.526	101.615	99.112	101.065	534372	0	15
2012.06.24	101.014	101.381	98.322	101.044	506687	0	12
2012.07.01	101.257	101.258	97.628	97.851	460041	0	9
2012.07.08	97.717	98.122	96.417	96.966	451034	0	11
2012.07.15	97.047	97.365	95.337	95.395	445231	0	15
2012.07.22	95.094	97.323	94.108	96.641	488294	0	15
2012.07.29	96.556	97.387	94.920	97.181	465180	0	4
2012.08.05	97.425	97.806	95.711	96.154	446444	0	15
2012.08.12	96.187	98.399	95.930	98.109	401975	0	14
2012.08.19	98.171	99.173	97.724	98.408	410567	0	10
2012.08.26	98.421	99.015	97.883	98.565	372146	0	11
2012.09.02	98.538	100.417	97.980	100.246	402057	0	7
2012.09.09	100.187	103.004	99.514	102.908	432254	0	15
2012.09.16	102.833	103.850	100.929	101.431	460313	0	15
2012.09.23	101.401	101.410	99.634	100.191	425810	0	4
2012.09.30	100.175	102.792	99.776	102.549	384216	0	15
2012.10.07	102.448	102.494	100.145	101.586	321632	0	8
2012.10.14	101.607	104.121	101.029	103.261	326260	0	14
2012.10.21	103.266	104.582	102.674	103.044	316011	0	10
2012.10.28	103.012	103.980	102.162	103.203	254943	0	4
2012.11.04	103.219	103.410	100.419	101.007	331264	0	4
2012.11.11	101.012	103.977	100.319	103.592	311211	0	4
