<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.01	1.54937	1.56687	1.53751	1.54243	376095	0	15
2012.01.08	1.54151	1.54995	1.52358	1.53156	410571	0	4
2012.01.15	1.52944	1.55765	1.52818	1.55737	400435	0	4
2012.01.22	1.55401	1.57392	1.55161	1.57269	401317	0	4
2012.01.29	1.57253	1.58821	1.56534	1.58107	415493	0	4
2012.02.05	1.58193	1.59277	1.57294	1.57525	425833	0	15
2012.02.12	1.57904	1.58612	1.56445	1.58330	406244	0	15
2012.02.19	1.58615	1.58983	1.56480	1.58711	368262	0	9
2012.02.26	1.58919	1.59908	1.57992	1.58322	368405	0	15
2012.03.04	1.58317	1.58809	1.56618	1.56720	318326	0	14
2012.03.11	1.56662	1.58601	1.56024	1.58398	321596	0	15
2012.03.18	1.58440	1.59222	1.57690	1.58663	314763	0	15
2012.03.25	1.58712	1.60357	1.58008	1.60061	336345	0	9
2012.04.01	1.60062	1.60617	1.58042	1.58645	328066	0	9
2012.04.08	1.58895	1.59835	1.58088	1.58444	333163	0	10
2012.04.15	1.58501	1.61483	1.58180	1.61215	344094	0	10
2012.04.22	1.61260	1.62793	1.60759	1.62594	313947	0	10
2012.04.29	1.62735	1.63006	1.61408	1.61470	288155	0	10
2012.05.06	1.61501	1.61975	1.60611	1.60656	338761	0	10
2012.05.13	1.60656	1.61219	1.57322	1.58146	349753	0	10
2012.05.20	1.58104	1.58474	1.56298	1.56641	377400	0	4
2012.05.27	1.56790	1.57161	1.52677	1.53591	442326	0	10
2012.06.03	1.53722	1.55999	1.53213	1.54682	447548	0	10
2012.06.10	1.55203	1.57263	1.54537	1.57111	437923	0	10
2012.06.17	1.57370	1.57764	1.55563	1.55825	460140	0	10
2012.06.24	1.55831	1.57143	1.54843	1.57040	387203	0	10
2012.07.01	1.56956	1.57207	1.54605	1.54887	340734	0	10
2012.07.08	1.54758	1.55797	1.53927	1.55741	324497	0	10
