<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.01	1.02010	1.02848	1.00756	1.02830	273018	0	10
2012.01.08	1.02940	1.03178	1.01382	1.02300	307947	0	10
2012.01.15	1.02405	1.02522	1.00694	1.01301	286270	0	10
2012.01.22	1.01513	1.01566	0.99807	1.00159	279330	0	3
2012.01.29	1.00141	1.00689	0.99262	0.99329	307580	0	3
2012.02.05	0.99348	1.00378	0.99249	1.00130	303038	0	6
2012.02.12	1.00011	1.00504	0.99375	0.99663	289187	0	10
2012.02.19	0.99308	1.00188	0.99053	0.99930	260836	0	3
2012.02.26	0.99940	1.00487	0.98408	0.98886	271634	0	10
2012.03.04	0.99005	1.00275	0.98716	0.99033	259727	0	10
2012.03.11	0.99043	0.99473	0.98794	0.99144	234315	0	10
2012.03.18	0.99116	1.00331	0.98594	0.99757	247216	0	7
2012.03.25	0.99818	1.00180	0.98990	0.99854	247977	0	3
2012.04.01	0.99568	0.99976	0.98871	0.99685	264449	0	5
2012.04.08	0.99721	1.00510	0.99253	0.99951	267456	0	3
2012.04.15	0.99916	1.00319	0.98648	0.99188	295553	0	5
2012.04.22	0.99247	0.99780	0.97988	0.98029	281077	0	5
2012.04.29	0.98066	0.99623	0.98029	0.99586	259970	0	5
2012.05.06	0.99501	1.00615	0.99224	1.00034	316754	0	5
2012.05.13	1.00156	1.02264	0.99894	1.02203	335611	0	5
2012.05.20	1.02135	1.03108	1.01509	1.02920	335716	0	3
2012.05.27	1.02677	1.04406	1.02063	1.04091	288455	0	5
2012.06.03	1.03909	1.04449	1.02098	1.02595	305872	0	5
2012.06.10	1.02226	1.03242	1.01995	1.02150	295351	0	5
2012.06.17	1.02014	1.02987	1.01585	1.02436	323617	0	5
2012.06.24	1.02540	1.03608	1.01640	1.01640	313887	0	5
2012.07.01	1.01612	1.02066	1.00999	1.01948	280605	0	5
2012.07.08	1.01993	1.02486	1.01287	1.01381	278733	0	5
2012.07.15	1.01355	1.01719	1.00648	1.01254	261255	0	5
