<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.01	77.090	77.324	76.597	76.957	182616	0	8
2012.01.08	76.796	77.028	76.650	76.952	168945	0	6
2012.01.15	76.898	77.313	76.545	76.982	168815	0	9
2012.01.22	76.961	78.277	76.644	76.667	225615	0	4
2012.01.29	76.752	76.767	76.018	76.551	213118	0	4
2012.02.05	76.545	77.799	76.488	77.593	240584	0	9
2012.02.12	77.647	79.602	77.357	79.536	252150	0	9
2012.02.19	79.734	81.201	79.359	81.184	242128	0	4
2012.02.26	81.567	81.863	80.013	81.786	281538	0	9
2012.03.04	81.850	82.635	80.578	82.446	275151	0	9
2012.03.11	82.438	84.167	81.961	83.423	273767	0	9
2012.03.18	83.498	84.088	81.983	82.322	279953	0	9
2012.03.25	82.432	83.375	81.831	82.848	292817	0	5
2012.04.01	82.954	83.292	81.319	81.629	284785	0	5
2012.04.08	81.546	81.856	80.580	80.913	272362	0	5
2012.04.15	80.945	81.771	80.311	81.508	262590	0	5
2012.04.22	81.564	81.678	80.215	80.260	255060	0	5
2012.04.29	80.325	80.607	79.630	79.840	209210	0	5
2012.05.06	79.757	80.072	79.426	79.926	235474	0	5
2012.05.13	79.924	80.547	78.994	79.008	241035	0	5
2012.05.20	79.211	80.135	79.099	79.671	278481	0	5
2012.05.27	79.661	79.664	77.657	78.004	310413	0	5
2012.06.03	78.084	79.781	77.974	79.476	325266	0	5
2012.06.10	79.469	79.736	78.605	78.697	309836	0	5
2012.06.17	78.923	80.562	78.785	80.415	313264	0	5
2012.06.24	80.455	80.615	79.138	79.785	280813	0	5
2012.07.01	79.905	80.090	79.305	79.646	246541	0	5
2012.07.08	79.658	79.923	79.081	79.176	230064	0	5
2012.07.15	79.223	79.232	78.429	78.475	219526	0	5
2012.07.22	78.451	78.666	77.944	78.442	236959	0	5
2012.07.29	78.487	78.766	77.917	78.461	228414	0	4
2012.08.05	78.600	78.783	78.130	78.259	228829	0	5
2012.08.12	78.284	79.566	78.158	79.557	211442	0	5
2012.08.19	79.559	79.650	78.303	78.666	203734	0	5
2012.08.26	78.659	78.834	78.186	78.377	161510	0	7
2012.09.02	78.326	79.017	78.011	78.237	200437	0	5
2012.09.09	78.246	78.387	77.135	78.383	236987	0	4
2012.09.16	78.355	79.209	78.013	78.161	253412	0	5
2012.09.23	78.124	78.154	77.428	77.942	199338	0	5
2012.09.30	77.960	78.862	77.780	78.661	190203	0	5
2012.10.07	78.658	78.754	77.942	78.434	160178	0	5
2012.10.14	78.424	79.455	78.325	79.302	180986	0	5
2012.10.21	79.284	80.371	79.210	79.634	176480	0	4
2012.10.28	79.703	80.668	79.269	80.421	215557	0	4
2012.11.04	80.511	80.555	79.070	79.471	357861	0	4
2012.11.11	79.433	81.452	79.202	81.308	356669	0	5
2012.11.18	81.416	82.831	81.082	82.381	376501	0	4
2012.11.25	82.379	82.741	81.686	82.467	360270	0	4
2012.12.02	82.400	82.818	81.711	82.478	333050	0	4
2012.12.09	82.548	83.957	82.111	83.500	359772	0	4
2012.12.16	84.145	84.610	83.605	84.234	415056	0	4
2012.12.23	84.377	86.625	84.318	85.865	276008	0	4
2012.12.30	85.819	88.397	85.814	88.140	346727	0	5
2013.01.06	88.322	89.435	86.823	89.176	499985	0	5
2013.01.13	89.487	90.182	87.790	90.083	546200	0	5
2013.01.20	90.148	91.192	88.056	90.877	532529	0	5
2013.01.27	91.059	92.952	90.324	92.789	516475	0	5
2013.02.03	92.830	94.045	91.976	92.672	570117	0	5
2013.02.10	92.564	94.431	92.220	93.505	545553	0	1
2013.02.17	93.878	94.208	92.771	93.405	484617	0	3
2013.02.24	94.203	94.303	90.929	93.579	574161	0	2
2013.03.03	93.547	96.551	92.914	95.987	134716	0	1
2013.03.10	96.163	96.707	95.076	95.280	213757	0	1
2013.03.17	94.887	96.129	94.195	94.421	243867	0	1
2013.03.24	94.621	94.959	93.524	94.150	212416	0	1
2013.03.31	94.252	97.829	92.568	97.520	243862	0	1
2013.04.07	98.235	99.944	98.073	98.338	271680	0	1
2013.04.14	98.337	99.680	95.792	99.480	315454	0	5
2013.04.21	99.776	99.879	97.553	97.998	248614	0	1
2013.04.28	97.953	99.265	97.005	98.956	191998	0	1
2013.05.05	99.143	101.982	98.580	101.589	207843	0	1
2013.05.12	101.782	103.306	101.260	103.178	215747	0	1
2013.05.19	102.661	103.733	100.663	101.254	315912	0	1
2013.05.26	101.241	102.525	100.222	100.433	350449	0	1
2013.06.02	100.544	100.721	94.982	97.533	419255	0	1
2013.06.09	97.850	99.278	93.788	94.055	460444	0	1
2013.06.16	94.192	98.286	94.178	97.881	353156	0	1
2013.06.23	97.975	99.443	96.965	99.121	351717	0	1
2013.06.30	99.212	101.223	99.178	101.180	248874	0	1
2013.07.07	101.280	101.531	98.248	99.169	285751	0	1
2013.07.14	99.305	100.864	98.893	100.617	253364	0	1
2013.07.21	100.390	100.618	97.961	98.224	263116	0	1
2013.07.28	98.296	99.948	97.584	98.920	267903	0	1
2013.08.04	98.972	99.149	95.809	96.218	267145	0	1
2013.08.11	96.302	98.649	95.924	97.521	260511	0	0
2013.08.18	97.619	99.147	96.912	98.671	252123	0	1
2013.08.25	98.611	98.842	96.817	98.116	231475	0	1
2013.09.01	98.321	100.224	98.274	99.094	213873	0	1
2013.09.08	99.780	100.608	99.011	99.361	213799	0	1
2013.09.15	98.832	99.667	97.763	99.284	193476	0	1
2013.09.22	99.272	99.357	98.094	98.220	181597	0	1
2013.09.29	97.790	98.726	96.931	97.457	225625	0	1
2013.10.06	97.288	98.594	96.567	98.556	212044	0	1
2013.10.13	98.233	99.003	97.557	97.734	179495	0	1
2013.10.20	97.951	98.482	96.944	97.408	149736	0	1
2013.10.27	97.523	98.849	97.445	98.597	148355	0	1
2013.11.03	98.689	99.408	97.633	99.044	148250	0	1
2013.11.10	99.171	100.433	98.925	100.169	160189	0	1
2013.11.17	100.270	101.353	99.571	101.273	169868	0	1
2013.11.24	101.273	102.612	101.139	102.405	147035	0	1
2013.12.01	102.499	103.378	101.624	102.893	199546	0	1
2013.12.08	103.137	103.921	102.156	103.186	184056	0	1
2013.12.15	103.155	104.635	102.502	104.008	172262	0	1
2013.12.22	104.050	105.182	103.773	105.147	81839	0	1
2013.12.29	105.304	105.440	104.075	104.844	112080	0	1
2014.01.05	104.845	105.334	103.828	104.154	183654	0	1
2014.01.12	104.079	104.921	102.854	104.239	173302	0	1
2014.01.19	104.298	104.840	102.001	102.257	196463	0	1
2014.01.26	102.069	103.441	101.842	101.932	232397	0	1
2014.02.02	102.142	102.578	100.755	102.323	251307	0	1
2014.02.09	102.609	102.700	101.567	101.783	155156	0	1
2014.02.16	101.724	102.827	101.385	102.482	153614	0	1
2014.02.23	102.557	102.679	101.555	101.779	166810	0	1
2014.03.02	101.480	103.759	101.199	103.248	174325	0	0
2014.03.09	103.172	103.426	101.207	101.345	312310	0	0
2014.03.16	101.351	102.681	101.277	102.270	278533	0	0
2014.03.23	102.222	102.978	101.718	102.820	261162	0	0
2014.03.30	102.885	104.127	102.793	103.263	251317	0	0
2014.04.06	103.341	103.389	101.324	101.622	312937	0	1
2014.04.13	101.607	102.570	101.416	102.399	151397	0	1
2014.04.20	102.436	102.723	101.961	102.175	131342	0	1
2014.04.27	102.135	103.018	102.027	102.178	157799	0	0
2014.05.04	102.254	102.254	101.429	101.856	170224	0	0
2014.05.11	101.839	102.362	101.313	101.499	151183	0	0
2014.05.18	101.510	102.000	100.821	101.961	212650	0	0
2014.05.25	101.971	102.134	101.424	101.746	121829	0	0
2014.06.01	101.811	102.794	101.748	102.466	182018	0	0
2014.06.08	102.553	102.648	101.600	102.031	173016	0	0
2014.06.15	102.016	102.345	101.720	102.068	162253	0	1
2014.06.22	102.065	102.165	101.312	101.373	135963	0	0
2014.06.29	101.429	102.266	101.233	102.061	152255	0	1
2014.07.06	102.067	102.197	101.065	101.339	195354	0	1
2014.07.13	101.335	101.788	101.084	101.343	177878	0	1
2014.07.20	101.332	101.934	101.191	101.708	174227	0	1
2014.07.27	101.789	103.079	101.744	102.552	219936	0	1
2014.08.03	102.573	102.920	101.505	102.020	218061	0	10
2014.08.10	102.106	102.712	102.018	102.350	158832	0	10
2014.08.17	102.366	104.189	102.241	103.938	166084	0	2
2014.08.24	104.191	104.268	103.551	104.084	160111	0	1
2014.08.31	104.144	105.706	104.096	105.091	176915	0	1
2014.09.07	105.137	107.393	104.992	107.315	281004	0	1
2014.09.14	107.287	109.460	106.810	109.022	239876	0	1
2014.09.21	109.024	109.536	108.253	109.284	323638	0	1
2014.09.28	109.343	110.088	108.008	109.758	309684	0	1
2014.10.05	109.752	109.850	107.529	107.647	356742	0	1
2014.10.12	107.531	107.575	105.197	106.874	421551	0	1
2014.10.19	107.044	108.347	106.245	108.147	325464	0	3
2014.10.26	108.175	112.469	107.601	112.315	361427	0	1
2014.11.02	112.939	115.602	112.567	114.589	532506	0	1
2014.11.09	114.459	116.791	113.851	116.252	488685	0	1
2014.11.16	116.604	118.974	115.450	117.775	376785	0	1
2014.11.23	117.868	118.766	117.232	118.584	270449	23056830000	1
2014.11.30	118.741	121.681	117.860	121.462	299151	0	1
2014.12.07	121.566	121.843	117.435	118.743	369326	463549877000	1
2014.12.14	118.586	119.623	115.564	119.504	376244	475889449000	0
2014.12.21	119.525	120.822	119.312	120.332	608953	1102697233000	0
2014.12.28	120.341	120.741	118.862	120.419	195519	268768471000	0
2015.01.04	120.363	120.643	118.053	118.376	431540	529429904000	0
2015.01.11	118.317	119.317	115.850	117.614	1384074	2380523551000	0
2015.01.18	117.476	118.858	116.916	117.733	291670	0	6
2015.01.25	117.506	118.651	117.250	117.470	285623	14000000	2
2015.02.01	116.930	119.218	116.872	119.098	358108	0	1
2015.02.08	119.021	120.471	118.329	118.652	352003	0	6
2015.02.15	118.443	119.413	118.233	118.993	320374	0	1
2015.02.22	119.097	119.817	118.624	119.622	296413	0	6
2015.03.01	119.698	121.275	119.381	120.835	295993	0	6
2015.03.08	120.803	122.021	120.609	121.367	359424	0	2
2015.03.15	121.375	121.515	119.293	120.014	339399	0	1
2015.03.22	119.838	120.159	118.324	119.128	334536	0	6
2015.03.29	119.128	120.360	118.716	118.939	277093	0	5
2015.04.05	118.939	120.736	118.797	120.184	267781	0	2
2015.04.12	120.184	120.841	118.566	118.931	327300	0	4
2015.04.19	118.931	120.089	118.526	118.992	371383	0	4
2015.04.26	118.877	120.287	118.492	120.114	380255	0	6
2015.05.03	120.232	120.501	119.057	119.729	134555	0	2
2015.05.10	119.674	120.271	118.886	119.379	307788	0	4
2015.05.17	119.269	121.565	119.252	121.543	364374	0	6
2015.05.24	121.485	124.448	121.439	124.112	422447	0	6
2015.05.31	124.096	125.853	123.747	125.570	510017	0	2
2015.06.07	125.586	125.675	122.456	123.417	682320	0	6
2015.06.14	123.163	124.435	122.471	122.674	498795	0	6
2015.06.21	122.927	124.372	122.556	123.837	487270	0	7
2015.06.28	122.741	123.719	121.935	122.870	580998	0	4
2015.07.05	121.985	122.926	120.408	122.751	772406	0	6
2015.07.12	122.305	124.227	122.305	124.047	546521	0	6
2015.07.19	124.029	124.471	123.566	123.821	512497	310068460000	8
2015.07.26	123.753	124.577	123.006	123.850	670647	935580792000	3
2015.08.02	123.866	125.064	123.797	124.203	612950	833358347000	4
